Timestamp;w_time;w_yaw
302090;7315;4.134368E+003
303086;7316;4.134376E+003
304085;7317;4.134386E+003
305090;7318;4.134381E+003
306089;7319;4.134400E+003
307085;7320;4.134383E+003
308085;7321;4.134388E+003
309151;7322;4.134383E+003
310086;7323;4.134368E+003
311087;7324;4.134419E+003
312092;7325;4.134495E+003
313091;7326;4.134467E+003
314087;7327;4.134412E+003
315087;7328;4.134407E+003
316092;7329;4.134364E+003
317091;7330;4.134397E+003
318088;7331;4.134372E+003
319087;7332;4.134377E+003
320149;7333;4.134431E+003
321093;7334;4.134469E+003
322093;7335;4.134487E+003
323089;7336;4.134517E+003
324088;7337;4.134450E+003
325084;7338;4.134455E+003
326084;7339;4.134442E+003
327089;7340;4.134440E+003
328089;7341;4.134436E+003
329085;7342;4.134395E+003
330087;7343;4.134448E+003
331146;7344;4.134462E+003
332086;7345;4.134487E+003
333086;7346;4.134413E+003
334091;7347;4.134368E+003
335091;7348;4.134325E+003
336087;7349;4.134362E+003
337087;7350;4.134365E+003
338084;7351;4.134273E+003
339084;7352;4.134288E+003
340084;7353;4.134279E+003
341084;7354;4.134333E+003
342153;7355;4.134396E+003
343088;7356;4.134373E+003
344088;7357;4.134429E+003
345085;7358;4.134357E+003
346085;7359;4.134444E+003
347091;7360;4.134466E+003
348091;7361;4.134440E+003
349088;7362;4.134445E+003
350092;7363;4.134484E+003
351089;7364;4.134434E+003
352089;7365;4.134430E+003
353148;7366;4.134483E+003
354084;7367;4.134435E+003
355085;7368;4.134382E+003
356090;7369;4.134436E+003
357091;7370;4.134456E+003
358088;7371;4.134454E+003
359088;7372;4.134339E+003
360088;7373;4.134266E+003
361088;7374;4.134200E+003
362085;7375;4.134310E+003
363085;7376;4.134428E+003
364153;7377;4.134448E+003
365087;7378;4.134452E+003
366088;7379;4.134490E+003
367085;7380;4.134384E+003
368092;7381;4.134331E+003
369088;7382;4.134240E+003
370090;7383;4.134206E+003
371086;7384;4.134154E+003
372086;7385;4.134184E+003
373091;7386;4.134146E+003
374091;7387;4.134185E+003
375180;7388;4.134245E+003
376088;7389;4.134317E+003
377088;7390;4.134382E+003
378084;7391;4.134394E+003
379084;7392;4.134355E+003
380091;7393;4.134290E+003
381091;7394;4.134240E+003
382087;7395;4.134233E+003
383087;7396;4.134233E+003
384092;7397;4.134263E+003
385092;7398;4.134301E+003
386145;7399;4.134314E+003
387089;7400;4.134353E+003
388085;7401;4.134295E+003
389085;7402;4.134317E+003
390084;7403;4.134315E+003
391084;7404;4.134221E+003
392089;7405;4.134327E+003
393088;7406;4.134273E+003
394084;7407;4.134231E+003
395084;7408;4.134191E+003
396089;7409;4.134253E+003
397099;7410;4.134239E+003
398087;7411;4.134256E+003
399087;7412;4.134270E+003
400086;7413;4.134297E+003
401085;7414;4.134322E+003
402089;7415;4.134313E+003
403086;7416;4.134259E+003
404086;7417;4.134272E+003
405092;7418;4.134340E+003
406093;7419;4.134344E+003
407089;7420;4.134353E+003
408158;7421;4.134317E+003
409084;7422;4.134337E+003
410087;7423;4.134239E+003
411084;7424;4.134293E+003
412084;7425;4.134350E+003
413090;7426;4.134349E+003
414090;7427;4.134302E+003
415087;7428;4.134244E+003
416087;7429;4.134194E+003
417084;7430;4.134240E+003
418084;7431;4.134248E+003
419103;7432;4.134259E+003
420085;7433;4.134352E+003
421086;7434;4.134469E+003
422092;7435;4.134433E+003
423093;7436;4.134451E+003
424089;7437;4.134381E+003
425090;7438;4.134372E+003
426086;7439;4.134410E+003
427087;7440;4.134513E+003
428092;7441;4.134481E+003
429093;7442;4.134463E+003
430101;7443;4.134562E+003
431089;7444;4.134547E+003
432090;7445;4.134550E+003
433085;7446;4.134499E+003
434084;7447;4.134465E+003
435089;7448;4.134424E+003
436088;7449;4.134385E+003
437084;7450;4.134371E+003
438084;7451;4.134369E+003
439089;7452;4.134322E+003
440092;7453;4.134300E+003
441107;7454;4.134387E+003
442085;7455;4.134484E+003
443085;7456;4.134535E+003
444090;7457;4.134464E+003
445089;7458;4.134410E+003
446086;7459;4.134333E+003
447086;7460;4.134357E+003
448090;7461;4.134338E+003
449090;7462;4.134344E+003
450089;7463;4.134356E+003
451088;7464;4.134345E+003
452105;7465;4.134323E+003
453092;7466;4.134301E+003
454093;7467;4.134244E+003
455089;7468;4.134248E+003
456088;7469;4.134285E+003
457084;7470;4.134310E+003
458084;7471;4.134321E+003
459089;7472;4.134273E+003
460091;7473;4.134237E+003
461087;7474;4.134294E+003
462087;7475;4.134329E+003
463106;7476;4.134290E+003
464085;7477;4.134290E+003
465085;7478;4.134254E+003
466090;7479;4.134180E+003
467089;7480;4.134147E+003
468086;7481;4.134097E+003
469087;7482;4.134134E+003
470087;7483;4.134117E+003
471087;7484;4.134111E+003
472093;7485;4.134044E+003
473084;7486;4.134055E+003
474101;7487;4.134092E+003
475089;7488;4.134153E+003
476090;7489;4.134123E+003
477086;7490;4.134073E+003
478087;7491;4.134035E+003
479084;7492;4.133991E+003
480087;7493;4.133979E+003
481093;7494;4.133884E+003
482084;7495;4.133870E+003
483089;7496;4.133936E+003
484090;7497;4.133849E+003
485100;7498;4.133954E+003
486088;7499;4.133972E+003
487089;7500;4.133989E+003
488090;7501;4.134016E+003
489090;7502;4.134082E+003
490090;7503;4.134128E+003
491090;7504;4.134051E+003
492087;7505;4.134023E+003
493087;7506;4.133982E+003
494085;7507;4.134014E+003
495085;7508;4.133938E+003
496102;7509;4.133950E+003
497090;7510;4.133964E+003
498091;7511;4.134034E+003
499087;7512;4.134127E+003
500088;7513;4.134174E+003
501084;7514;4.134149E+003
502084;7515;4.134181E+003
503089;7516;4.134226E+003
504089;7517;4.134242E+003
505085;7518;4.134246E+003
506084;7519;4.134341E+003
507105;7520;4.134334E+003
508093;7521;4.134299E+003
509093;7522;4.134329E+003
510092;7523;4.134350E+003
511092;7524;4.134399E+003
512088;7525;4.134461E+003
513088;7526;4.134398E+003
514093;7527;4.134431E+003
515092;7528;4.134437E+003
516088;7529;4.134479E+003
517088;7530;4.134519E+003
518104;7531;4.134552E+003
519092;7532;4.134500E+003
520086;7533;4.134546E+003
521090;7534;4.134514E+003
522090;7535;4.134530E+003
523086;7536;4.134464E+003
524086;7537;4.134400E+003
525091;7538;4.134391E+003
526091;7539;4.134459E+003
527087;7540;4.134446E+003
528087;7541;4.134509E+003
529105;7542;4.134614E+003
530086;7543;4.134614E+003
531086;7544;4.134650E+003
532091;7545;4.134712E+003
533091;7546;4.134754E+003
534088;7547;4.134794E+003
535088;7548;4.134756E+003
536085;7549;4.134777E+003
537085;7550;4.134865E+003
538091;7551;4.134869E+003
539091;7552;4.134911E+003
540105;7553;4.134886E+003
541085;7554;4.134905E+003
542086;7555;4.134984E+003
543092;7556;4.134934E+003
544092;7557;4.134984E+003
545089;7558;4.134979E+003
546089;7559;4.134976E+003
547086;7560;4.134912E+003
548086;7561;4.134886E+003
549092;7562;4.134839E+003
550087;7563;4.134852E+003
551102;7564;4.134873E+003
552086;7565;4.134853E+003
553091;7566;4.134874E+003
